Year_Birth,Education,Marital_Status,Income,Dt_Customer,Last_Purchase,Wines,Fruits,Meat,Fish,Sweet,Gold,Deal_Purchases,Web_Purchases,Catalog_Purchases,Store_Purchases,Web_Visits,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Children,Age,Customer_From,Total_Spending,Luxury_Spending,Necessity_Spending,Need_Attention,Luxury_Consumer,CLV
1951,0,0,0.46,2014-03-06,86,335,42,127,28,5,5,3,7,2,8,6,0,0,0,0,0,0,0,2,72,3223,542,340,202,1,1,0.168166304685076
1971,1,0,0.42,2012-08-15,92,639,8,166,11,8,58,3,7,3,12,7,0,0,0,0,0,0,0,1,52,3791,890,697,193,1,1,0.23476655236085467
1975,0,0,0.53,2013-03-27,47,563,76,384,84,192,89,4,6,10,13,4,0,0,0,0,0,0,0,1,48,3567,1388,652,736,1,0,0.3891225119147743
1980,0,0,0.32,2013-10-10,18,2,0,8,2,2,3,1,1,0,2,8,0,0,0,0,0,0,1,1,43,3370,17,5,12,0,0,0.005044510385756677
1981,1,0,0.49,2012-08-04,81,746,8,125,11,8,8,7,8,6,9,6,0,1,0,0,0,0,1,1,42,3802,906,754,152,1,1,0.2382956338769069
1978,0,0,0.33,2013-01-02,91,22,1,13,4,0,4,2,1,0,3,7,0,0,0,0,0,0,0,2,45,3651,44,26,18,1,1,0.012051492741714598
1988,0,1,0.17,2014-05-18,58,4,1,6,4,1,9,1,1,1,2,5,0,0,0,0,0,0,0,1,35,3150,25,13,12,1,1,0.007936507936507936
1956,0,0,0.54,2013-02-18,40,478,0,193,110,75,117,4,8,3,11,5,0,0,0,0,0,0,0,1,67,3604,973,595,378,1,1,0.2699778024417314
1972,1,1,0.36,2014-05-09,67,20,3,4,2,0,2,2,1,0,3,3,0,0,0,0,0,0,0,2,51,3159,31,22,9,1,1,0.009813232035454257
1977,1,0,0.48,2014-05-23,19,451,0,39,0,4,24,1,7,1,8,5,0,0,0,0,0,0,0,1,46,3145,518,475,43,0,1,0.16470588235294117
1972,1,0,0.54,2012-10-23,93,371,22,39,6,0,92,4,6,2,7,5,0,0,0,0,0,0,0,1,51,3722,530,463,67,1,1,0.14239656098871575
1977,0,0,0.35,2012-10-31,41,281,7,84,15,0,119,7,7,3,4,8,0,0,0,0,0,0,0,1,46,3714,506,400,106,1,1,0.1362412493268713
1973,1,0,0.33,2013-12-30,60,19,7,19,0,1,24,1,2,1,2,7,0,0,0,0,0,0,0,1,50,3289,70,43,27,1,1,0.021283064761325632
1972,1,1,0.32,2013-08-11,54,26,3,13,2,10,0,1,2,0,3,6,0,0,0,0,0,0,0,1,51,3430,54,26,28,1,0,0.01574344023323615
1974,0,1,0.27,2012-08-19,26,138,15,35,25,11,72,2,6,2,2,9,1,0,0,0,0,0,1,1,49,3787,296,210,86,0,1,0.07816213361499869
1975,0,0,0.37,2013-10-30,30,213,2,44,0,2,5,4,4,2,5,5,0,0,0,0,0,0,0,1,48,3350,266,218,48,1,1,0.07940298507462687
1960,1,0,0.73,2012-10-10,93,407,28,100,120,74,18,1,5,9,4,3,0,0,0,0,0,0,0,0,63,3735,747,425,322,1,1,0.2
1964,1,1,0.69,2012-09-14,35,483,74,114,169,37,18,1,5,10,13,3,0,0,0,0,0,0,1,0,59,3761,895,501,394,1,1,0.23796862536559427
1976,1,0,0.57,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,1,47,3335,1053,788,265,0,1,0.3157421289355322
1974,0,0,0.52,2013-06-26,92,502,12,109,16,6,90,2,7,2,10,6,0,0,0,0,0,0,0,1,49,3476,735,592,143,1,1,0.21144994246260068
1969,0,0,0.11,2014-01-26,24,11,0,5,2,1,1,1,1,0,3,7,0,0,0,0,0,0,0,1,54,3262,20,12,8,0,1,0.0061312078479460455
1952,1,1,0.24,2012-10-28,96,24,1,108,29,29,14,1,4,1,4,8,0,0,0,0,0,0,0,0,71,3717,205,38,167,1,0,0.05515200430454668
1958,1,0,0.69,2012-09-24,11,1170,19,594,99,76,134,2,2,5,12,6,0,0,0,0,0,0,0,1,65,3751,2092,1304,788,0,1,0.5577179418821647
1976,0,1,0.4,2012-12-03,99,185,2,88,15,5,14,2,6,1,5,8,0,0,0,0,0,0,0,1,47,3681,309,199,110,1,1,0.08394458027709861
1955,0,0,0.66,2013-02-22,72,983,20,389,240,50,40,1,3,5,13,6,0,0,0,1,0,0,0,0,68,3600,1722,1023,699,1,1,0.47833333333333333
1964,1,1,0.51,2013-01-12,77,691,0,69,10,0,130,4,2,6,3,8,0,0,0,0,0,0,0,1,59,3641,900,821,79,1,1,0.24718483932985444
1944,1,1,0.48,2013-11-27,85,504,13,131,8,0,26,1,9,4,6,7,0,1,0,0,0,0,0,0,79,3322,682,530,152,1,1,0.2052980132450331
1962,1,1,0.52,2013-04-13,88,317,25,265,25,19,12,3,5,3,11,5,0,0,0,0,0,0,0,1,61,3550,663,329,334,1,0,0.18676056338028169
1978,0,1,0.48,2014-04-05,22,29,1,9,2,0,2,1,2,0,3,3,0,0,0,0,0,0,0,1,45,3193,43,31,12,0,1,0.013466958972752897
1971,1,0,0.69,2013-04-21,83,1396,0,322,46,35,17,1,4,9,4,6,0,0,0,0,0,0,0,1,52,3542,1816,1413,403,1,1,0.51270468661773
1949,1,0,0.59,2014-05-22,63,529,0,356,63,28,0,3,6,7,11,3,0,0,0,0,0,0,0,1,74,3146,976,529,447,1,1,0.3102352193261284
1944,0,0,0.57,2013-04-03,9,388,14,218,91,14,21,1,4,3,13,2,0,0,0,0,0,0,0,0,79,3560,746,409,337,0,1,0.2095505617977528
1950,0,0,0.23,2012-08-06,92,13,2,21,4,0,24,2,1,1,2,8,0,0,0,0,0,0,0,2,73,3800,64,37,27,1,1,0.016842105263157894
1961,1,0,0.42,2013-11-15,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,1,62,3334,32,28,4,0,1,0.009598080383923215
1990,0,0,0.2,2012-12-29,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,0,0,33,3655,263,124,139,0,0,0.0719562243502052
1985,1,0,0.56,2012-08-24,66,1047,0,140,67,38,153,2,4,3,12,8,0,0,0,0,0,0,0,1,38,3782,1445,1200,245,1,1,0.3820729772607086
1956,1,0,0.44,2013-06-21,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,0,1,67,3481,46,37,9,1,1,0.013214593507612756
1953,0,1,0.46,2012-11-07,29,815,10,239,28,10,108,2,10,4,12,6,0,0,0,0,0,0,0,0,70,3707,1210,923,287,0,1,0.3264094955489614
1976,0,0,0.57,2013-12-02,77,225,162,387,106,36,29,1,5,10,8,3,0,0,0,0,0,0,0,1,47,3317,945,254,691,1,0,0.2848959903527284
1989,0,1,0.71,2013-07-19,77,493,70,324,146,40,84,1,3,7,11,1,0,0,0,0,0,0,0,0,34,3453,1157,577,580,1,0,0.3350709527946713
1992,0,0,0.3,2013-06-21,71,34,4,66,3,10,20,1,2,1,4,7,0,0,0,0,0,0,0,0,31,3481,137,54,83,1,0,0.03935650675093364
1959,0,1,0.53,2012-12-16,49,382,138,65,60,26,59,6,5,2,12,5,0,0,0,0,0,0,0,1,64,3668,730,441,289,1,1,0.1990185387131952
1981,1,0,0.34,2013-05-25,97,127,1,56,0,1,31,3,4,2,3,7,1,0,0,0,0,0,0,1,42,3508,216,158,58,1,1,0.06157354618015964
1979,0,1,0.52,2013-03-28,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,1,44,3566,943,416,527,0,0,0.26444195176668533
1964,0,0,0.42,2013-10-20,93,238,17,68,8,10,6,3,6,2,5,7,0,1,0,0,0,0,0,2,59,3360,347,244,103,1,1,0.10327380952380952
1959,1,0,0.78,2014-03-17,78,1168,92,408,72,129,55,1,5,6,7,1,0,0,1,0,0,0,0,0,64,3212,1924,1223,701,1,1,0.5990037359900373
1946,1,0,0.38,2013-05-11,62,284,0,55,0,6,52,4,6,2,5,8,0,0,0,0,0,0,0,1,77,3522,397,336,61,1,1,0.11272004542873368
1975,1,1,0.71,2013-04-14,47,1288,20,613,80,61,27,1,5,7,9,2,0,0,0,0,0,0,0,0,48,3549,2089,1315,774,1,1,0.5886165116934348
1961,0,0,0.31,2013-02-03,9,65,0,46,4,3,20,4,3,1,3,8,0,0,0,0,0,0,0,2,62,3619,138,85,53,0,1,0.03813208068527218
1990,0,1,0.22,2013-06-30,77,11,7,9,3,1,11,1,1,0,3,7,0,0,0,0,0,0,0,1,33,3472,42,22,20,1,1,0.012096774193548387
1959,0,0,0.62,2013-08-23,24,227,23,389,42,21,75,1,4,5,7,2,0,0,0,0,0,0,0,0,64,3418,777,302,475,0,0,0.22732592159157403
1944,1,0,0.7,2014-03-01,19,1035,134,670,25,38,0,1,6,3,10,3,0,0,1,1,0,0,0,0,79,3228,1902,1035,867,0,1,0.5892193308550185
1965,0,1,0.26,2014-01-27,67,27,1,12,2,0,10,2,2,0,3,7,0,0,0,0,0,0,0,2,58,3261,52,37,15,1,1,0.015946028825513645
1987,1,1,0.64,2014-03-01,95,982,73,351,56,14,175,1,2,4,6,5,1,0,0,0,0,0,0,0,36,3228,1651,1157,494,1,1,0.5114622057001239
1991,0,0,0.37,2013-08-16,48,179,2,64,38,17,58,1,5,1,6,5,0,0,0,0,0,0,0,0,32,3425,358,237,121,1,1,0.10452554744525547
1953,0,0,0.61,2012-09-30,73,1379,33,216,0,33,66,1,2,4,9,6,0,1,1,0,0,0,0,0,70,3745,1727,1445,282,1,1,0.4611481975967957
1987,0,0,0.21,2012-09-08,35,32,1,64,16,12,85,3,2,2,3,6,0,0,0,0,0,0,1,1,36,3767,210,117,93,1,1,0.05574727900185824
1986,0,0,0.28,2012-12-04,76,8,4,15,7,6,2,1,1,0,3,8,0,0,0,0,0,0,0,1,37,3680,42,10,32,1,0,0.01141304347826087
1958,1,0,0.68,2013-11-27,20,881,38,319,16,25,12,1,4,5,10,2,0,0,0,0,0,0,0,0,65,3322,1291,893,398,0,1,0.3886213124623721
1977,1,0,0.43,2014-06-08,72,141,15,153,67,31,35,1,4,4,6,3,0,0,0,0,0,0,0,0,46,3129,442,176,266,1,0,0.141259188239054
1964,0,1,0.54,2012-08-12,20,1000,155,379,224,17,120,1,4,8,4,8,0,0,0,0,0,0,0,0,59,3794,1895,1120,775,0,1,0.49947285187137586
1960,1,0,0.42,2013-11-03,69,206,10,67,30,27,71,6,4,1,8,6,0,0,0,0,0,0,0,2,63,3346,411,277,134,1,1,0.1228332337118948
1975,1,1,0.41,2013-02-15,80,162,61,83,97,57,61,4,4,3,8,5,0,0,0,0,0,0,0,1,48,3607,521,223,298,1,0,0.1444413640144164
1969,0,1,0.63,2013-09-18,65,619,54,260,127,54,54,1,4,7,5,1,0,0,0,0,0,0,0,1,54,3392,1168,673,495,1,1,0.3443396226415094
1977,1,0,0.5,2014-06-18,52,456,4,24,0,0,9,7,8,2,6,7,0,1,0,0,0,0,0,2,46,3119,493,465,28,1,1,0.15806348188521963
1962,0,0,0.57,2013-04-24,65,112,6,92,3,9,38,2,3,2,5,4,0,0,0,0,0,0,0,2,61,3539,260,150,110,1,1,0.0734670810963549
1982,0,1,0.24,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,1,41,3485,46,17,29,1,0,0.013199426111908177
1951,1,0,0.41,2013-04-11,70,172,12,112,8,0,15,4,6,1,5,7,0,0,0,0,0,0,0,1,72,3552,319,187,132,1,1,0.08980855855855856
1967,0,0,0.39,2014-01-18,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,1,56,3270,96,85,11,0,1,0.029357798165137616
1967,0,1,0.67,2014-02-15,19,464,151,292,65,60,30,1,8,3,4,4,0,0,1,0,0,0,1,0,56,3242,1062,494,568,0,0,0.32757557063541026
1952,1,0,0.5,2013-08-08,50,99,4,32,37,54,6,2,2,1,7,2,0,0,0,0,0,0,0,1,71,3433,232,105,127,1,0,0.06757937663850859
1981,1,1,0.19,2013-12-23,67,19,3,19,4,5,26,3,3,0,3,7,0,0,0,0,0,0,0,1,42,3296,76,45,31,1,1,0.023058252427184466
1977,1,0,0.21,2013-11-07,46,1,9,8,11,3,22,3,3,0,3,8,0,0,0,0,0,0,0,1,46,3342,54,23,31,1,0,0.01615798922800718
1969,0,1,0.37,2012-08-06,37,63,10,83,7,19,19,2,4,1,4,7,0,0,0,0,0,0,0,1,54,3800,201,82,119,1,0,0.052894736842105265
1984,1,1,0.37,2012-11-28,38,252,3,42,4,3,102,2,4,5,3,6,0,0,0,0,0,0,0,1,39,3686,406,354,52,1,1,0.1101465002712968
1982,1,0,0.74,2013-08-07,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,0,1,0,41,3434,1919,1478,441,0,1,0.5588235294117647
1976,0,0,0.47,2013-06-04,56,198,18,252,32,108,54,2,4,6,8,3,0,0,0,0,0,0,0,1,47,3498,662,252,410,1,0,0.18925100057175528
1990,1,0,0.2,2014-03-08,98,8,4,10,6,7,6,2,2,0,4,5,0,0,0,0,0,0,0,1,33,3221,41,14,27,1,0,0.01272896615957777
1964,0,1,0.75,2014-01-07,68,416,46,925,60,107,46,1,3,6,4,1,0,0,0,0,0,0,1,0,59,3281,1600,462,1138,1,0,0.487656202377324
1980,0,0,0.41,2013-12-03,72,42,7,43,20,12,10,1,3,0,4,6,0,0,0,0,0,0,0,1,43,3316,134,52,82,1,0,0.040410132689987936
1968,0,0,0.16,2014-01-26,47,14,3,21,2,1,28,4,3,1,2,8,1,0,0,0,0,0,1,2,55,3262,69,42,27,1,1,0.021152667075413856
1973,1,0,0.23,2014-03-29,33,17,0,3,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,2,50,3200,21,18,3,1,1,0.0065625
1963,1,1,0.34,2014-03-31,87,15,4,10,3,4,18,2,1,1,3,3,0,0,0,0,0,0,0,2,60,3198,54,33,21,1,1,0.016885553470919325
1989,0,1,0.18,2014-04-08,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,0,1,1,34,3190,91,40,51,0,0,0.028526645768025077
1971,1,1,0.52,2014-02-07,73,458,0,24,6,4,34,2,6,2,8,6,0,0,0,0,0,0,0,1,52,3250,526,492,34,1,1,0.16184615384615383
1963,0,0,0.18,2013-04-18,74,30,3,47,19,21,42,1,3,2,2,8,0,0,0,0,0,0,0,0,60,3545,162,72,90,1,0,0.045698166431593794
1949,1,0,0.71,2013-11-06,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,0,1,0,74,3343,1008,226,782,0,0,0.3015255758300927
1952,0,0,0.37,2012-09-12,50,90,17,97,15,6,15,6,4,1,5,8,0,0,0,0,0,0,0,2,71,3763,240,105,135,1,0,0.0637788998139782
1978,1,1,0.47,2013-03-01,57,308,85,137,102,45,118,2,6,2,11,5,0,0,0,0,0,0,0,1,45,3593,795,426,369,1,1,0.22126356804898414
1982,0,0,0.7,2013-04-05,30,557,129,761,29,185,111,1,5,6,7,2,0,0,1,0,0,0,0,0,41,3558,1772,668,1104,1,0,0.4980326025857223
1970,1,0,0.12,2013-08-03,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,0,53,3438,64,24,40,0,0,0.01861547411285631
1959,0,0,0.77,2013-05-22,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,0,1,1,64,3511,1957,1525,432,1,1,0.5573910566790088
1978,0,0,0.28,2013-09-09,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,1,45,3401,78,42,36,0,1,0.022934431049691267
1980,0,1,0.71,2013-06-16,75,249,153,940,58,134,38,0,6,6,7,2,0,0,0,0,0,0,0,0,43,3486,1572,287,1285,1,0,0.4509466437177281
1971,1,0,0.62,2013-06-25,12,465,25,132,136,0,37,2,8,3,13,4,0,0,0,0,0,0,0,1,52,3477,795,502,293,0,1,0.2286453839516825
1970,1,0,0.54,2014-01-15,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,1,53,3273,889,212,677,0,0,0.2716162542010388
1963,1,1,0.42,2013-11-05,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,0,1,60,3344,331,198,133,0,1,0.09898325358851674
1950,1,0,0.45,2014-06-07,48,189,2,29,3,2,40,2,3,2,5,4,0,0,0,0,0,0,0,1,73,3130,265,229,36,1,1,0.08466453674121406
1962,0,1,0.58,2012-12-05,80,747,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,0,1,61,3679,1065,789,276,1,1,0.2894808371840174
1951,1,0,0.25,2013-09-07,60,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,0,2,72,3403,11,7,4,1,1,0.0032324419629738465
1979,0,1,0.41,2013-07-05,43,14,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,0,1,44,3467,21,18,3,1,1,0.006057109893279493
1970,0,0,0.33,2012-12-07,19,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,2,53,3677,17,13,4,0,1,0.004623334239869459
1974,0,0,0.39,2012-09-12,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,1,49,3763,369,204,165,0,1,0.09806005846399149
1968,1,0,0.33,2014-01-27,58,32,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,0,2,55,3261,38,33,5,1,1,0.011652867218644588
1978,1,1,0.33,2013-09-13,42,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,0,1,45,3397,177,75,102,1,0,0.052104798351486604
1970,1,0,0.56,2013-08-01,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,1,53,3440,279,220,59,0,1,0.0811046511627907
1981,1,0,0.31,2013-10-02,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,0,1,42,3378,62,25,37,1,0,0.018354055654233273
1977,1,0,0.54,2013-01-31,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0,1,1,46,3622,1230,1074,156,0,1,0.33959138597459965
1968,0,0,0.44,2014-04-01,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,0,2,55,3197,182,147,35,0,1,0.0569283703472005
1970,0,0,0.1,2013-08-23,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,0,2,53,3418,49,16,33,1,0,0.014335868929198362
1966,1,0,0.41,2013-09-16,39,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,0,2,57,3394,75,64,11,1,1,0.022097819681791395
1956,1,0,0.47,2013-07-09,85,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,0,2,67,3463,227,149,78,1,1,0.06555010106843777
1974,1,0,0.39,2012-11-10,64,203,0,10,0,0,2,5,3,1,6,6,0,1,0,0,0,0,0,2,49,3704,215,205,10,1,1,0.05804535637149028
1951,0,0,0.35,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,1,72,3576,444,369,75,1,1,0.12416107382550336
1967,1,0,0.41,2013-10-20,54,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,0,2,56,3360,47,19,28,1,0,0.013988095238095239
1951,1,0,0.23,2013-04-15,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,0,0,72,3548,143,89,54,1,1,0.040304396843292
1983,0,0,0.34,2014-04-03,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,0,1,40,3195,55,48,7,1,1,0.017214397496087636
1971,1,0,0.22,2014-04-18,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,0,2,52,3180,63,40,23,0,1,0.01981132075471698
1955,0,1,0.7,2012-09-23,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,1,0,68,3752,1867,1284,583,1,1,0.4976012793176972
1961,1,0,0.54,2013-09-14,74,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,0,1,62,3396,611,275,336,1,0,0.17991755005889282
1955,0,0,0.47,2014-05-17,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,1,68,3151,473,429,44,0,1,0.15011107584893685
1959,0,0,0.2,2013-08-20,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,0,0,64,3421,55,30,25,1,1,0.01607717041800643
1984,1,1,0.34,2012-10-12,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,1,1,39,3733,81,36,45,1,0,0.021698365925529064
1975,1,0,0.81,2012-12-12,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,1,0,48,3672,2086,837,1249,0,0,0.568082788671024
1965,1,1,0.61,2013-11-10,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,0,0,58,3339,1478,457,1021,1,0,0.44264749925127284
1977,0,0,0.28,2014-01-30,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,1,46,3258,49,28,21,0,1,0.015039901780233272
1972,1,0,0.52,2013-09-11,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,0,0,51,3399,382,130,252,1,0,0.11238599588114151
1975,1,0,0.14,2013-09-19,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,1,1,48,3391,69,36,33,0,1,0.020347979946918313
1969,0,1,0.2,2012-10-26,80,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,0,1,54,3719,67,29,38,1,0,0.018015595590212423
1969,1,0,0.36,2013-10-19,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,0,2,54,3361,30,21,9,0,1,0.008925914906277893
1978,1,0,0.22,2013-06-04,39,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,0,1,45,3498,63,19,44,1,0,0.018010291595197257
1981,0,0,0.26,2012-08-17,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,0,1,42,3789,79,35,44,1,0,0.020849828450778568
1961,0,1,0.25,2013-02-21,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,1,62,3601,42,40,2,0,1,0.0116634268258817
1960,0,0,0.55,2012-08-31,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,0,1,63,3775,819,625,194,1,1,0.21695364238410597
1955,0,1,0.64,2013-09-17,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,0,0,68,3393,1151,454,697,1,0,0.3392278219864427
1948,1,0,0.53,2012-12-09,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,0,2,75,3675,594,459,135,1,1,0.16163265306122448
1966,1,0,0.43,2013-01-26,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,0,2,57,3627,129,94,35,1,1,0.03556658395368073
1986,1,1,0.18,2012-12-29,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,1,1,37,3655,213,152,61,0,1,0.058276333789329685
1973,0,1,0.36,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,1,50,3246,67,59,8,1,1,0.020640788662969808
1956,0,1,0.22,2013-03-11,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,0,3,67,3583,28,6,22,1,0,0.007814680435389338
1975,0,0,0.26,2012-10-26,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,1,48,3719,45,19,26,0,0,0.012100026888948642
1965,0,0,0.71,2014-05-07,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,0,0,58,3161,1193,432,761,1,0,0.3774122113255299
1969,1,1,0.22,2013-08-19,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0,0,54,3422,268,141,127,1,1,0.07831677381648158
1944,1,1,0.39,2013-07-18,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,0,0,79,3454,266,172,94,1,1,0.07701215981470759
1973,0,0,0.15,2012-12-11,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,0,1,50,3673,37,17,20,1,0,0.010073509392866867
1967,0,0,0.19,2013-10-28,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,3,56,3352,37,27,10,0,1,0.0110381861575179
1969,1,1,0.42,2012-11-09,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1,0,54,3705,882,430,452,1,0,0.2380566801619433
1974,0,0,0.39,2013-07-26,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,0,2,49,3446,373,239,134,1,1,0.10824143934997098
1965,1,1,0.3,2013-05-06,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,0,3,58,3527,35,30,5,1,1,0.009923447689254324
1978,0,1,0.47,2013-03-18,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,2,45,3576,42,15,27,1,0,0.01174496644295302
1960,1,0,0.26,2012-08-17,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,1,63,3789,326,205,121,0,1,0.08603853259435207
1961,1,0,0.47,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,1,62,3461,404,367,37,0,1,0.11672926899739959
1971,0,1,0.27,2013-07-14,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,0,0,52,3458,95,49,46,1,1,0.027472527472527472
1949,0,1,0.63,2014-03-10,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,0,0,74,3219,939,660,279,1,1,0.2917054986020503
1978,1,1,0.31,2013-12-28,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,1,45,3291,33,12,21,1,0,0.010027347310847767
1955,1,0,0.63,2013-06-03,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,0,0,68,3499,981,497,484,1,1,0.280365818805373
1976,0,0,0.11,2013-01-20,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,1,47,3633,36,16,20,1,0,0.00990916597853014
1975,0,1,0.74,2013-06-03,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,1,48,3499,1237,405,832,1,0,0.3535295798799657
1960,0,0,0.62,2012-09-21,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,1,63,3754,1825,1018,807,0,1,0.4861481086840703
1977,1,1,0.29,2012-09-06,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,0,2,46,3769,103,27,76,1,0,0.027328203767577608
1977,0,1,0.24,2012-12-18,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,0,1,46,3666,191,44,147,1,0,0.05210038188761593
1970,1,0,0.6,2013-11-19,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0,1,53,3330,1586,1211,375,1,1,0.4762762762762763
1958,1,0,0.57,2014-06-13,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,0,65,3124,963,657,306,1,1,0.30825864276568504
1970,1,0,0.54,2014-01-15,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,1,53,3273,889,212,677,0,0,0.2716162542010388
1960,1,1,0.27,2014-02-15,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,1,0,63,3242,93,40,53,0,0,0.028685996298581123
1973,0,1,0.73,2013-04-18,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,0,50,3545,1587,593,994,0,0,0.447672778561354
1962,0,1,0.4,2014-03-10,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,3,61,3219,16,15,1,0,1,0.004970487729108419
